Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds
2026-08-14,St. Louis Cardinals,Chicago Cubs,28.3,71.7,168,-180,150,-185,-9.0%,-11.7%,+7.4%,+6.8%,Matthew Liberatore,L,56.8,89.0,2362.0,9.4,Clay Holmes,R,28.3,89.2,2184.0,7.5,0.663,0.806,3.17,5.19,-1.6,-1.4,CONFIRMED ✓,CONFIRMED+PLATOON,104,,DK vig 101.6%,-8.4%,+8.4%,-9.8%,+9.8%,,175,-195
2026-08-14,Miami Marlins,Cincinnati Reds,None,None,103,-111,-102,-118,N/A,N/A,N/A,N/A,Sandy Alcantara,R,0,None,None,None,Chase Burns,R,62.0,94.3,2641.0,12.8,0.731,0.706,3.0,6.35,-2.0,-0.7,N/A,CONFIRMED+PLATOON,106,,DK vig 101.9%,N/A,N/A,N/A,N/A,,106,-116
2026-08-14,Boston Red Sox,Pittsburgh Pirates,56.8,43.2,-119,111,-120,100,+2.5%,+2.3%,-4.2%,-6.8%,Jake Bennett,L,38.3,88.5,2081.0,10.8,Bubba Chandler,R,58.2,94.7,2356.0,9.9,0.724,0.717,3.15,4.67,-4.7,1.7,FADE ✗,CONFIRMED+PLATOON,98,,DK vig 101.7%,+3.4%,-3.4%,+4.6%,-4.6%,Boston Red Sox,-122,112
2026-08-14,Chicago White Sox,Detroit Tigers,43.8,56.2,120,-129,105,-130,-1.7%,-5.0%,-0.1%,-0.3%,Sean Newcomb,L,32.2,89.7,2458.0,9.3,Jackson Jobe,R,2.5,93.0,2493.0,11.3,0.747,0.774,4.09,2.33,2.0,-4.8,FADE ✗,CONFIRMED+PLATOON,100,,DK vig 101.8%,-0.9%,+0.9%,-2.5%,+2.5%,,120,-130
2026-08-14,Washington Nationals,New York Mets,61.2,38.8,111,-119,100,-120,+13.8%,+11.2%,-15.5%,-15.7%,Andrew Alvarez,L,34.7,87.2,2494.0,9.2,Robert Stock,R,4.0,91.6,2241.0,14.6,0.752,0.748,3.67,5.12,9.0,-11.8,CONFIRMED ✓,CONFIRMED+PLATOON,97,,DK vig 101.7%,+14.6%,-14.6%,+13.4%,-13.4%,,105,-115
2026-08-14,San Diego Padres,Cleveland Guardians,None,None,111,-119,100,-120,N/A,N/A,N/A,N/A,Michael King,R,0,None,None,None,Gavin Williams,R,72.3,90.9,2277.0,13.5,0.734,0.75,2.57,4.14,-0.7,-2.2,N/A,CONFIRMED+PLATOON,98,,DK vig 101.7%,N/A,N/A,N/A,N/A,,110,-121
2026-08-14,Baltimore Orioles,Tampa Bay Rays,40.2,59.8,140,-151,135,-160,-1.5%,-2.4%,-0.4%,-1.7%,Chris Bassitt,R,28.2,84.8,2164.0,8.2,Steven Matz,L,31.3,87.5,2262.0,8.9,0.705,0.781,5.04,3.0,1.2,-1.1,N/A,CONFIRMED+PLATOON,98,,DK vig 101.9%,-0.7%,+0.7%,-0.7%,+0.7%,,150,-160
2026-08-14,Arizona Diamondbacks,Atlanta Braves,41.0,59.0,177,-191,155,-190,+4.9% ** BET **,+1.8%,-6.6%,-6.5%,Brandon Pfaadt,R,42.8,89.1,2444.0,8.7,Chris Sale,L,61.5,88.7,2339.0,13.4,0.785,0.763,2.45,3.13,-0.5,0.5,N/A,CONFIRMED+PLATOON,102,** BET **,DK vig 101.7%,+5.5%,-5.5%,+3.6%,-3.6%,Arizona Diamondbacks,173,-193
2026-08-14,New York Yankees,Toronto Blue Jays,52.0,48.0,-142,132,-155,125,-6.7%,-8.8%,+4.9%,+3.6%,Gerrit Cole,R,40.3,92.0,2364.0,9.7,Shane Bieber,R,21.3,88.3,2272.0,8.1,0.741,0.689,2.25,3.61,-2.1,-0.8,FADE ✗,CONFIRMED+PLATOON,100,,DK vig 101.8%,-5.7%,+5.7%,-5.8%,+5.8%,Toronto Blue Jays,-145,135
2026-08-14,Seattle Mariners,Houston Astros,45.3,54.7,106,-114,-102,-118,-3.2%,-5.2%,+1.4%,+0.6%,George Kirby,R,66.0,92.0,2264.0,10.5,Peter Lambert,R,56.8,89.3,2218.0,10.6,0.731,0.772,3.63,3.46,-11.3,8.4,CONFIRMED ✓,CONFIRMED+PLATOON,99,,DK vig 101.8%,-2.3%,+2.3%,-3.0%,+3.0%,Houston Astros,105,-115
