Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds
2026-08-10,Boston Red Sox,Toronto Blue Jays,60.2,39.8,-153,142,-160,135,-0.3%,-1.3%,-1.5%,-2.8%,Sonny Gray,R,59.8,87.4,2492.0,8.5,Jameson Taillon,R,40.0,86.3,2376.0,11.0,0.722,0.679,2.95,3.28,14.8,-17.5,CONFIRMED ✓,ESTIMATED,100,,DK vig 101.8%,+0.8%,-0.8%,+1.1%,-1.1%,,-153,143
2026-08-10,New York Mets,Atlanta Braves,46.2,53.8,130,-140,125,-150,+2.7%,+1.8%,-4.5%,-6.2%,Christian Scott,R,37.2,90.1,2340.0,11.5,Bryce Elder,R,63.3,88.6,2166.0,8.3,0.693,0.732,4.17,2.3,-0.2,-2.6,FADE ✗,ESTIMATED,102,,DK vig 101.8%,+3.5%,-3.5%,+3.7%,-3.7%,New York Mets,133,-143
2026-08-10,Baltimore Orioles,Minnesota Twins,43.3,56.7,-108,100,-115,-105,-8.6%,-10.2%,+6.7%,+5.5%,Trevor Rogers,L,57.8,89.1,2196.0,11.0,Dean Kremer,R,20.5,86.5,2056.0,11.5,0.714,0.786,2.94,3.86,-0.9,-1.9,FADE ✗,PARTIAL,100,,DK vig 101.9%,-7.6%,+7.6%,-7.8%,+7.8%,Minnesota Twins,-115,105
2026-08-10,Philadelphia Phillies,St. Louis Cardinals,32.0,68.0,-115,107,-120,100,-21.5%,-22.5%,+19.7%,+18.0%,Andrew Painter,R,37.5,90.3,2289.0,10.1,Hunter Dobbins,R,20.0,89.6,2457.0,8.9,0.709,0.696,3.73,4.08,1.3,-4.3,FADE ✗,ESTIMATED,98,,DK vig 101.8%,-20.6%,+20.6%,-20.2%,+20.2%,,-113,103
2026-08-10,Texas Rangers,Los Angeles Angels,50.8,49.2,-112,104,-118,-102,-2.0%,-3.3%,+0.2%,-1.3%,MacKenzie Gore,L,64.3,90.3,2172.0,10.8,Reid Detmers,L,64.5,88.0,2233.0,10.9,0.717,0.69,3.0,5.22,-1.7,-1.0,FADE ✗,ESTIMATED,97,,DK vig 101.8%,-1.1%,+1.1%,-0.9%,+0.9%,,-114,104
2026-08-10,Colorado Rockies,Arizona Diamondbacks,44.1,55.9,180,-194,170,-210,+8.4%,+7.1%,-10.1%,-11.8%,Gabriel Hughes,R,14.8,89.3,2170.0,8.1,Michael Soroka,R,41.0,87.9,2600.0,8.7,0.746,0.708,5.83,3.09,-4.8,2.0,CONFIRMED ✓,ESTIMATED,97,,DK vig 101.7%,+9.0%,-9.0%,+8.8%,-8.8%,,183,-203
2026-08-10,Tampa Bay Rays,Athletics,54.3,45.7,-155,144,-160,135,-6.5%,-7.2%,+4.7% ** BET **,+3.1% ** BET **,Freddy Peralta,R,58.7,89.2,2304.0,10.7,Jacob Lopez,L,37.5,84.6,2258.0,10.0,0.731,0.715,3.05,5.22,-1.0,-1.8,CONFIRMED ✓,ESTIMATED,95,** BET **,DK vig 101.8%,-5.4%,+5.4%,-4.8%,+4.8%,Athletics,-157,147
2026-08-10,Milwaukee Brewers,San Diego Padres,59.3,40.7,-115,107,-120,100,+5.8% ** BET **,+4.8% ** BET **,-7.6%,-9.3%,Logan Henderson,R,25.0,88.0,2421.0,12.6,Casey Mize,R,45.0,90.1,2105.0,11.1,0.735,0.698,3.38,4.43,0.7,-3.4,CONFIRMED ✓,ESTIMATED,94,** BET **,DK vig 101.8%,+6.7%,-6.7%,+7.1%,-7.1%,Milwaukee Brewers,-115,105
2026-08-10,Houston Astros,San Francisco Giants,59.7,40.3,-142,132,-150,125,+1.0%,-0.3%,-2.8%,-4.1%,Hayden Wesneski,R,5.8,88.0,2338.0,10.8,Blade Tidwell,R,8.5,89.2,2472.0,11.0,0.736,0.716,3.57,4.02,-3.3,0.6,FADE ✗,ESTIMATED,95,,DK vig 101.8%,+2.0%,-2.0%,+2.2%,-2.2%,,-140,130
2026-08-10,Kansas City Royals,Los Angeles Dodgers,35.7,64.3,245,-266,225,-285,+6.7%,+4.9%,-8.4%,-9.7%,Noah Cameron,L,61.8,86.8,2199.0,10.3,Tarik Skubal,L,51.3,92.6,2163.0,15.8,0.71,0.766,4.17,5.36,1.1,-4.0,FADE ✗,ESTIMATED,96,,DK vig 101.7%,+7.2%,-7.2%,+6.3%,-6.3%,Kansas City Royals,240,-280
