Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds
2026-08-10,Boston Red Sox,Toronto Blue Jays,59.4,40.6,-153,142,-160,135,-1.1%,-2.1%,-0.7%,-2.0%,Sonny Gray,R,59.8,87.4,2492.0,8.5,Jameson Taillon,R,40.0,86.3,2376.0,11.0,0.739,0.705,2.95,3.28,14.8,-17.5,CONFIRMED ✓,CONFIRMED+PLATOON,100,,DK vig 101.8%,-0.0%,+0.0%,+0.3%,-0.3%,,-153,143
2026-08-10,New York Mets,Atlanta Braves,43.6,56.4,130,-140,125,-150,+0.1%,-0.8%,-1.9%,-3.6%,Christian Scott,R,37.2,90.1,2340.0,11.5,Bryce Elder,R,63.3,88.6,2166.0,8.3,0.693,0.762,4.17,2.3,-0.2,-2.6,FADE ✗,PARTIAL,102,,DK vig 101.8%,+0.9%,-0.9%,+1.1%,-1.1%,,131,-141
2026-08-10,Baltimore Orioles,Minnesota Twins,39.9,60.1,101,-109,-110,-110,-9.9%,-12.5%,+7.9%,+7.7%,Trevor Rogers,L,57.8,89.1,2196.0,11.0,Dean Kremer,R,20.5,86.5,2056.0,11.5,0.674,0.786,2.94,3.86,-3.1,0.2,CONFIRMED ✓,CONFIRMED+PLATOON,100,,,-8.9%,+8.9%,-10.1%,+10.1%,,-101,-109
2026-08-10,Philadelphia Phillies,St. Louis Cardinals,36.8,63.2,-115,107,-125,105,-16.7%,-18.8%,+14.9%,+14.4%,Andrew Painter,R,37.5,90.3,2289.0,10.1,Hunter Dobbins,R,20.0,89.6,2457.0,8.9,0.709,0.635,3.73,4.08,1.3,-4.3,FADE ✗,PARTIAL,98,,DK vig 101.8%,-15.8%,+15.8%,-16.5%,+16.5%,,-113,103
2026-08-10,Texas Rangers,Los Angeles Angels,50.8,49.2,-106,-101,-118,-102,-0.7%,-3.3%,-1.0%,-1.3%,MacKenzie Gore,L,64.3,90.3,2172.0,10.8,Reid Detmers,L,64.5,88.0,2233.0,10.9,0.717,0.69,3.0,5.22,-3.1,0.2,FADE ✗,ESTIMATED,97,,DK vig 101.7%,+0.2%,-0.2%,-0.9%,+0.9%,,-113,103
2026-08-10,Colorado Rockies,Arizona Diamondbacks,44.1,55.9,180,-194,170,-210,+8.4%,+7.1%,-10.1%,-11.8%,Gabriel Hughes,R,14.8,89.3,2170.0,8.1,Michael Soroka,R,41.0,87.9,2600.0,8.7,0.746,0.708,5.83,3.09,-4.8,2.0,CONFIRMED ✓,ESTIMATED,97,,DK vig 101.7%,+9.0%,-9.0%,+8.8%,-8.8%,,183,-203
2026-08-10,Tampa Bay Rays,Athletics,54.3,45.7,-155,144,-160,135,-6.5%,-7.2%,+4.7% ** BET **,+3.1% ** BET **,Freddy Peralta,R,58.7,89.2,2304.0,10.7,Jacob Lopez,L,37.5,84.6,2258.0,10.0,0.731,0.715,3.05,5.22,-1.0,-1.8,CONFIRMED ✓,ESTIMATED,95,** BET **,DK vig 101.8%,-5.4%,+5.4%,-4.8%,+4.8%,Athletics,-157,147
2026-08-10,Milwaukee Brewers,San Diego Padres,59.3,40.7,-115,107,-120,100,+5.8% ** BET **,+4.8% ** BET **,-7.6%,-9.3%,Logan Henderson,R,25.0,88.0,2421.0,12.6,Casey Mize,R,45.0,90.1,2105.0,11.1,0.735,0.698,3.38,4.43,0.7,-3.4,CONFIRMED ✓,ESTIMATED,94,** BET **,DK vig 101.8%,+6.7%,-6.7%,+7.1%,-7.1%,Milwaukee Brewers,-115,105
2026-08-10,Houston Astros,San Francisco Giants,59.8,40.2,-142,132,-150,125,+1.1%,-0.2%,-2.9%,-4.2%,Hayden Wesneski,R,5.8,88.0,2338.0,10.8,Blade Tidwell,R,8.5,89.2,2472.0,11.0,0.736,0.715,3.57,4.02,-3.3,0.6,FADE ✗,ESTIMATED,95,,DK vig 101.8%,+2.1%,-2.1%,+2.3%,-2.3%,,-140,130
2026-08-10,Kansas City Royals,Los Angeles Dodgers,35.7,64.3,250,-272,225,-285,+7.1%,+4.9%,-8.8%,-9.7%,Noah Cameron,L,61.8,86.8,2199.0,10.3,Tarik Skubal,L,51.3,92.6,2163.0,15.8,0.71,0.766,4.17,5.36,0.6,-3.5,FADE ✗,ESTIMATED,96,,DK vig 101.7%,+7.6%,-7.6%,+6.3%,-6.3%,Kansas City Royals,245,-285
