date,pk,pitcher_id,name,team,opp,home,hand,season_so,season_bf,season_gs,season_ip,prior_so,prior_bf,bf_l5,bf_season,exp_bf,p_pit,f_pit,lineup_src,lineup_n,lineup_k,f_lineup,pk_pa,exp_k,p_over_3.5,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,line_dk,over_dk,under_dk,line_fd,over_fd,under_fd,line_mgm,over_mgm,under_mgm,line_czr,over_czr,under_czr,alts,cons_line,p_over_cons,fair_over,fair_under,best_side,best_book,best_line,best_price,best_edge,odds_at,built_at
2026-09-17,823334,690986,Kyle Harrison,Milwaukee Brewers,Pittsburgh Pirates,0,L,134,475,23,110.7,38,156,22.0,20.36,21.18,0.2669,1.209,confirmed,9,0.231,1.046,0.2785,5.78,0.8245,0.6901,0.5293,0.3688,0.2327,0.1329,5.5,116,-148,5.5,116,-148,5.5,125,-165,,,,"{""fd"":{""2.5"":[-2500,null],""3.5"":[-590,null],""4.5"":[-225,null],""5.5"":[116,null],""6.5"":[220,null],""7.5"":[440,null]},""czr"":{""3.5"":[-500,null],""4.5"":[-190,null],""5.5"":[116,null],""6.5"":[215,null],""7.5"":[425,null],""8.5"":[850,null]},""mgm"":{""6.5"":[260,null],""5.5"":[125,null],""3.5"":[-400,null],""4.5"":[-175,null],""7.5"":[525,null]},""dk"":{""2.5"":[-1140,null],""3.5"":[-406,null],""4.5"":[-178,null],""5.5"":[115,null],""6.5"":[229,null],""7.5"":[469,null],""8.5"":[980,null]}}",5.5,0.5293,-112,+112,over,mgm,5.5,125,0.1128,2026-09-17T15:43:07Z,2026-09-17T15:43:07Z
2026-09-17,823334,696062,Wilber Dotel,Pittsburgh Pirates,Milwaukee Brewers,1,R,36,150,1,35.3,0,0,10.0,18.82,14.41,0.229,1.037,confirmed,9,0.2016,0.913,0.2093,2.89,0.3391,0.1768,0.0794,0.0311,0.0107,0.0033,1.5,-131,103,,,,,,,,,,"{""czr"":{""0.5"":[-850,null],""1.5"":[-129,null],""2.5"":[230,null],""3.5"":[675,null]},""dk"":{""0.5"":[-610,null],""1.5"":[-129,null],""2.5"":[215,null],""3.5"":[507,null],""4.5"":[1140,null]}}",1.5,0.7708,-336,+336,over,czr,2.5,230,0.2516,2026-09-17T15:43:07Z,2026-09-17T15:43:07Z
2026-09-17,824464,680736,Justin Wrobleski,Los Angeles Dodgers,Cincinnati Reds,0,L,111,552,21,133.3,76,280,22.33,24.53,23.43,0.2142,0.97,confirmed,9,0.2419,1.096,0.2349,5.34,0.7769,0.6216,0.4519,0.2969,0.1762,0.0945,3.5,-127,-101,,,,,,,,,,"{""czr"":{""2.5"":[-380,null],""3.5"":[-122,null],""4.5"":[173,null],""5.5"":[390,null],""6.5"":[850,null]},""dk"":{""1.5"":[-980,null],""2.5"":[-297,null],""3.5"":[-131,null],""4.5"":[155,null],""5.5"":[315,null],""6.5"":[660,null],""7.5"":[1380,null]}}",3.5,0.7769,-348,+348,over,czr,4.5,173,0.2553,2026-09-17T15:43:07Z,2026-09-17T15:43:07Z
2026-09-17,824464,663903,Brady Singer,Cincinnati Reds,Los Angeles Dodgers,1,R,125,683,29,150.7,163,716,26.33,23.49,24.91,0.1928,0.873,confirmed,9,0.2084,0.944,0.1816,4.49,0.654,0.4702,0.3024,0.1742,0.0902,0.0422,4.5,119,-153,3.5,-172,134,4.5,120,-160,,,,"{""fd"":{""2.5"":[-530,null],""3.5"":[-172,null],""4.5"":[118,null],""5.5"":[260,null],""6.5"":[560,null]},""czr"":{""2.5"":[-590,null],""3.5"":[-209,null],""4.5"":[119,null],""5.5"":[240,null],""6.5"":[500,null],""7.5"":[1000,null]},""dk"":{""1.5"":[-1920,null],""2.5"":[-493,null],""3.5"":[-186,null],""4.5"":[122,null],""5.5"":[270,null],""6.5"":[593,null],""7.5"":[1300,null]},""mgm"":{""4.5"":[120,null],""2.5"":[-400,null],""5.5"":[230,null],""3.5"":[-165,null],""6.5"":[425,null]}}",4.5,0.4702,+113,-113,over,fd,3.5,-172,0.0573,2026-09-17T15:43:07Z,2026-09-17T15:43:07Z
2026-09-17,822924,605488,Jeffrey Springs,Athletics,Tampa Bay Rays,0,L,105,594,27,135.0,138,713,23.33,21.94,22.63,0.1825,0.827,confirmed,9,0.1737,0.787,0.1421,3.23,0.4077,0.2324,0.1159,0.0511,0.0201,0.0071,3.5,120,-154,3.5,122,-156,3.5,105,-140,,,,"{""dk"":{""1.5"":[-770,null],""2.5"":[-224,null],""3.5"":[120,null],""4.5"":[292,null],""5.5"":[660,null],""6.5"":[1480,null]},""fd"":{""2.5"":[-250,null],""3.5"":[122,null],""4.5"":[255,null],""5.5"":[600,null]},""mgm"":{""2.5"":[-235,null],""4.5"":[225,null],""5.5"":[450,null],""3.5"":[100,null],""6.5"":[850,null]},""czr"":{""1.5"":[-1000,null],""2.5"":[-245,null],""3.5"":[117,null],""4.5"":[255,null],""5.5"":[600,null],""6.5"":[1400,null]}}",3.5,0.4077,+145,-145,under,mgm,3.5,-140,0.0477,2026-09-17T15:43:07Z,2026-09-17T15:43:07Z
2026-09-17,822924,656876,Drew Rasmussen,Tampa Bay Rays,Athletics,1,R,160,625,28,160.3,127,585,23.67,22.22,22.95,0.2468,1.118,confirmed,9,0.2137,0.968,0.2391,5.44,0.7881,0.637,0.4687,0.3121,0.1879,0.1024,5.5,-138,108,5.5,-142,112,5.5,-140,105,,,,"{""dk"":{""2.5"":[-3200,null],""3.5"":[-830,null],""4.5"":[-317,null],""5.5"":[-143,null],""6.5"":[145,null],""7.5"":[299,null],""8.5"":[610,null],""9.5"":[1180,null]},""fd"":{""3.5"":[-1200,null],""4.5"":[-360,null],""5.5"":[-142,null],""6.5"":[140,null],""7.5"":[300,null],""8.5"":[560,null]},""mgm"":{""3.5"":[-700,null],""6.5"":[140,null],""5.5"":[-140,null],""4.5"":[-295,null],""7.5"":[260,null]},""czr"":{""9.5"":[850,null],""3.5"":[-1250,null],""4.5"":[-390,null],""5.5"":[-148,null],""6.5"":[122,null],""7.5"":[235,null],""8.5"":[425,null]}}",5.5,0.4687,+113,-113,under,fd,5.5,112,0.0857,2026-09-17T15:43:07Z,2026-09-17T15:43:07Z
2026-09-17,824305,650633,Michael King,San Diego Padres,Colorado Rockies,0,R,148,711,30,175.0,76,308,25.33,23.54,24.44,0.2144,0.971,previous,9,0.2295,1.039,0.2229,5.29,0.7703,0.6125,0.4423,0.2887,0.1703,0.0909,4.5,112,-143,4.5,118,-150,4.5,110,-150,,,,"{""dk"":{""1.5"":[-1860,null],""2.5"":[-515,null],""3.5"":[-196,null],""4.5"":[115,null],""5.5"":[247,null],""6.5"":[518,null],""7.5"":[1080,null]},""fd"":{""2.5"":[-700,null],""3.5"":[-230,null],""4.5"":[118,null],""5.5"":[240,null],""6.5"":[500,null]},""mgm"":{""2.5"":[-550,null],""4.5"":[105,null],""3.5"":[-210,null],""6.5"":[400,null],""5.5"":[210,null]},""czr"":{""2.5"":[-750,null],""3.5"":[-225,null],""4.5"":[111,null],""5.5"":[225,null],""6.5"":[450,null],""7.5"":[1000,null]}}",4.5,0.6125,-158,+158,over,fd,4.5,118,0.1793,2026-09-17T15:43:07Z,2026-09-17T15:43:07Z
2026-09-17,824305,685299,Tanner Gordon,Colorado Rockies,San Diego Padres,1,R,81,428,10,97.3,62,337,25.0,22.57,23.79,0.1919,0.869,previous,9,0.2113,0.957,0.1834,4.36,0.6312,0.4448,0.2794,0.1568,0.0789,0.0358,3.5,-105,-122,3.5,-115,-111,3.5,-120,-110,,,,"{""dk"":{""1.5"":[-890,null],""2.5"":[-263,null],""3.5"":[-102,null],""4.5"":[229,null],""5.5"":[518,null],""6.5"":[1140,null]},""fd"":{""2.5"":[-330,null],""3.5"":[-115,null],""4.5"":[186,null],""5.5"":[420,null]},""mgm"":{""3.5"":[-125,null],""4.5"":[170,null],""2.5"":[-295,null],""5.5"":[340,null],""6.5"":[600,null]},""czr"":{""2.5"":[-345,null],""3.5"":[-114,null],""4.5"":[188,null],""5.5"":[425,null],""6.5"":[950,null]}}",3.5,0.6312,-171,+171,over,dk,3.5,-105,0.1488,2026-09-17T15:43:07Z,2026-09-17T15:43:07Z
2026-09-17,824141,607625,Seth Lugo,Kansas City Royals,Houston Astros,0,R,126,709,30,164.0,125,611,23.67,23.51,23.59,0.1845,0.836,previous,9,0.2043,0.925,0.1701,4.04,0.5736,0.384,0.228,0.1205,0.057,0.0243,4.5,121,-154,4.5,132,-170,4.5,125,-165,,,,"{""fd"":{""2.5"":[-590,null],""3.5"":[-210,null],""4.5"":[132,null],""5.5"":[280,null],""6.5"":[600,null]},""czr"":{""2.5"":[-560,null],""3.5"":[-197,null],""4.5"":[124,null],""5.5"":[255,null],""6.5"":[525,null],""7.5"":[1100,null]},""mgm"":{""5.5"":[250,null],""4.5"":[125,null],""6.5"":[475,null],""2.5"":[-450,null],""3.5"":[-175,null]},""dk"":{""1.5"":[-1860,null],""2.5"":[-506,null],""3.5"":[-195,null],""4.5"":[117,null],""5.5"":[262,null],""6.5"":[566,null],""7.5"":[1180,null]}}",4.5,0.384,+160,-160,under,dk,4.5,-154,0.0433,2026-09-17T15:43:07Z,2026-09-17T15:43:07Z
2026-09-17,823573,605400,Aaron Nola,Philadelphia Phillies,New York Mets,0,R,165,690,30,161.3,97,404,25.33,22.88,24.1,0.2379,1.078,previous,9,0.2051,0.929,0.2213,5.26,0.7657,0.6064,0.4358,0.2829,0.1659,0.0881,5.5,116,-148,5.5,126,-162,5.5,115,-155,,,,"{""fd"":{""2.5"":[-1800,null],""3.5"":[-500,null],""4.5"":[-200,null],""5.5"":[126,null],""6.5"":[240,null],""7.5"":[500,null]},""czr"":{""3.5"":[-460,null],""4.5"":[-190,null],""5.5"":[122,null],""6.5"":[225,null],""7.5"":[450,null],""8.5"":[900,null]},""dk"":{""2.5"":[-1360,null],""3.5"":[-441,null],""4.5"":[-187,null],""5.5"":[116,null],""6.5"":[245,null],""7.5"":[511,null],""8.5"":[1040,null]},""mgm"":{""6.5"":[230,null],""5.5"":[115,null],""3.5"":[-400,null],""4.5"":[-175,null],""7.5"":[425,null]}}",5.5,0.4358,+129,-129,over,fd,5.5,126,0.0187,2026-09-17T15:43:07Z,2026-09-17T15:43:07Z
