Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-05-09,Los Angeles Angels,Toronto Blue Jays,35,65,149,-181,150,-185,-5.2%,-5.0%,+0.6%,+0.1%,Jack Kochanowicz,R,20.6,92.5,2315.0,9.7,Trey Yesavage,R,4.5,88.6,2005.0,12.2,0.723,0.689,3.5,3.24,-2.4,2.4,CONFIRMED ✓,CONFIRMED+PLATOON,100,
2026-05-09,Athletics,Baltimore Orioles,53.8,46.2,104,-126,105,-130,+4.8%,+5.0%,-9.6%,-10.3%,Aaron Civale,R,18.1,85.9,2583.0,7.5,Shane Baz,R,19.6,90.9,2446.0,8.2,0.729,0.704,5.54,7.24,2.1,-1.9,CONFIRMED ✓,ESTIMATED,102,
2026-05-09,Houston Astros,Cincinnati Reds,53.6,46.4,135,-163,135,-165,+11.0%,+11.0%,-15.6%,-15.9%,Spencer Arrighetti,R,11.5,84.1,2471.0,10.6,Chase Burns,R,20.5,94.7,2549.0,13.9,0.726,0.686,3.93,7.31,-4.4,4.4,FADE ✗,PARTIAL,106,
2026-05-09,Tampa Bay Rays,Boston Red Sox,None,None,129,-156,125,-155,N/A,N/A,N/A,N/A,Nick Martinez,R,0,None,None,None,Payton Tolle,L,8.6,92.6,2227.0,12.7,0.644,0.667,1.57,2.95,-5.8,6.0,N/A,PARTIAL,104,
2026-05-09,Washington Nationals,Miami Marlins,43.0,57.0,135,-163,135,-165,+0.4%,+0.4%,-5.0%,-5.3%,Zack Littell,R,16.1,87.1,1833.0,4.6,Janson Junk,R,19.1,87.6,2163.0,7.5,0.719,0.696,3.17,4.29,-6.5,6.2,CONFIRMED ✓,ESTIMATED,96,
2026-05-09,Colorado Rockies,Philadelphia Phillies,39.4,60.6,153,-186,150,-185,-0.1%,-0.6%,-4.4%,-4.3%,Kyle Freeland,L,12.5,86.9,2242.0,12.1,Aaron Nola,R,18.6,86.1,2285.0,9.8,0.731,0.684,6.91,4.22,3.7,-3.6,FADE ✗,ESTIMATED,105,
2026-05-09,Minnesota Twins,Cleveland Guardians,44.1,55.9,100,-120,100,-120,-5.9%,-5.9%,+1.4%,+1.4%,Joe Ryan,R,19.1,87.9,2354.0,10.5,Tanner Bibee,R,19.6,86.9,2302.0,10.7,0.713,0.697,7.24,4.95,4.3,-4.3,FADE ✗,ESTIMATED,98,
2026-05-09,Chicago Cubs,Texas Rangers,65,35,-136,113,-135,110,+7.4% ** BET **,+7.6% ** BET **,-11.9%,-12.6%,Edward Cabrera,R,20.6,91.5,2124.0,11.7,Jack Leiter,R,19.0,92.5,2331.0,12.1,0.783,0.681,2.63,5.94,-1.2,1.3,N/A,ESTIMATED,103,** BET **
2026-05-09,Detroit Tigers,Kansas City Royals,37.9,62.1,119,-143,118,-145,-7.8%,-8.0%,+3.3%,+2.9%,Burch Smith,R,5.5,88.7,2317.0,12.4,Michael Wacha,R,22.1,86.9,1979.0,8.4,0.719,0.71,3.35,3.09,0.8,-1.0,N/A,ESTIMATED,99,
2026-05-09,Seattle Mariners,Chicago White Sox,56.1,43.9,-131,109,-125,105,-0.6%,+0.5%,-3.9%,-4.9%,Luis Castillo,R,0,None,None,None,Anthony Kay,L,15.0,90.5,2270.0,8.0,0.707,0.707,3.6,4.59,-2.1,2.2,FADE ✗,ESTIMATED,99,
2026-05-09,New York Yankees,Milwaukee Brewers,57.9,42.1,-136,113,-135,110,+0.3%,+0.5%,-4.8%,-5.5%,Cam Schlittler,R,23.6,95.5,2421.0,14.7,Kyle Harrison,L,14.6,89.9,2127.0,11.6,0.782,0.695,3.48,2.51,-1.2,1.3,N/A,ESTIMATED,100,
2026-05-09,New York Mets,Arizona Diamondbacks,46.3,53.7,-112,-108,-115,-105,-6.5%,-7.2%,+1.8%,+2.5%,Clay Holmes,R,21.1,89.2,2179.0,8.3,Merrill Kelly,R,9.5,89.0,2307.0,12.5,0.639,0.698,2.96,2.89,-6.0,6.3,CONFIRMED ✓,ESTIMATED,97,
2026-05-09,St. Louis Cardinals,San Diego Padres,48.7,51.3,119,-143,115,-140,+3.0%,+2.2%,-7.5%,-7.0%,Dustin May,R,18.1,92.5,2502.0,6.6,Randy Vásquez,R,19.6,90.8,2590.0,11.2,0.72,0.672,2.5,3.48,4.7,-4.8,FADE ✗,ESTIMATED,94,
2026-05-09,Pittsburgh Pirates,San Francisco Giants,55.5,44.5,-115,-105,-115,-105,+2.0%,+2.0%,-6.7%,-6.7%,Braxton Ashcraft,R,20.6,92.3,2485.0,13.2,Landen Roupp,R,19.6,86.5,2387.0,9.4,0.716,0.642,3.98,3.74,1.1,-1.2,N/A,ESTIMATED,95,
2026-05-09,Atlanta Braves,Los Angeles Dodgers,45.6,54.4,149,-181,150,-185,+5.4%,+5.6%,-10.0%,-10.5%,Spencer Strider,R,1.6,87.7,2406.0,12.6,Blake Snell,L,0,None,None,None,0.787,0.792,3.35,2.08,-9.8,9.9,CONFIRMED ✓,ESTIMATED,96,
